city,stationname,devid,time,AQI,PM25,PM10,CO,SO2,NO2,O3,prkey
北京,"万寿西宫",1001A,2017060700,50,35,0,0.6,3,28,75,"无"
北京,"定陵",1002A,2017060700,64,46,0,0.5,1,26,42,"细颗粒物(PM2.5)"
北京,"东四",1003A,2017060700,52,36,0,0.3,3,25,80,"细颗粒物(PM2.5)"
北京,"天坛",1004A,2017060700,43,30,0,0.4,2,18,56,"无"
北京,"农展馆",1005A,2017060700,50,35,0,0.6,2,30,95,"无"
北京,"官园",1006A,2017060700,59,42,0,0.4,1,27,76,"细颗粒物(PM2.5)"
北京,"海淀区万柳",1007A,2017060700,60,43,0,0.4,1,31,65,"细颗粒物(PM2.5)"
北京,"顺义新城",1008A,2017060700,74,54,0,0.8,2,40,37,"细颗粒物(PM2.5)"
北京,"怀柔镇",1009A,2017060700,72,52,0,0.7,2,21,71,"细颗粒物(PM2.5)"
北京,"昌平镇",1010A,2017060700,89,66,0,0.5,3,47,31,"细颗粒物(PM2.5)"
北京,"奥体中心",1011A,2017060700,45,31,0,0.3,3,24,92,"无"
北京,"古城",1012A,2017060700,64,46,48,0.5,1,35,70,"细颗粒物(PM2.5)"
北京,"万寿西宫",1001A,2017060701,53,37,0,0.6,2,32,62,"细颗粒物(PM2.5)"
北京,"定陵",1002A,2017060701,73,53,0,0.5,2,22,26,"细颗粒物(PM2.5)"
北京,"东四",1003A,2017060701,52,36,37,0.3,2,27,72,"细颗粒物(PM2.5)"
北京,"天坛",1004A,2017060701,45,31,35,0.4,2,19,35,"无"
北京,"农展馆",1005A,2017060701,53,37,0,0.6,2,25,95,"细颗粒物(PM2.5)"
北京,"官园",1006A,2017060701,57,40,0,0.5,2,26,73,"细颗粒物(PM2.5)"
北京,"海淀区万柳",1007A,2017060701,53,37,49,0.4,2,40,54,"细颗粒物(PM2.5)"
北京,"顺义新城",1008A,2017060701,77,56,0,0.8,2,39,38,"细颗粒物(PM2.5)"
北京,"怀柔镇",1009A,2017060701,80,59,59,0.7,2,26,57,"细颗粒物(PM2.5)"
北京,"昌平镇",1010A,2017060701,94,70,0,0.5,2,47,25,"细颗粒物(PM2.5)"
