city,gdp,population,govermancepop,bussinesspop,nojobpop,first,second,third,ratio1,ratio2,ratio3
北京市,78702835,1197.6,513.79,2203385,103986,2.67,141.99,369.13,1.25,27.84,70.91
天津市,43591500,948.89,195,1165700,116700,0.73,98.37,95.9,2.71,57.08,40.21
石家庄市,20266320,939.5,87.11,304669,22653,0.46,35.17,51.48,12.71,48.35,38.94
唐山市,23621410,719.12,75.16,302475,53498,3.61,38.38,33.17,10.84,58.02,31.14
秦皇岛市,5520509,280.54,28.36,183373,16133,0.26,9.98,18.12,10.54,37.76,51.7
邯郸市,13594576,884.12,59.36,456232,39305,0.39,27.73,31.24,12.71,52.1,35.19
邢台市,7909297,683.3,32.89,261320,22810,0.32,11.16,21.41,16.93,57.95,25.12
保定市,11999550,1106.08,65.13,318206,37662,0.42,27.14,37.57,17.32,48.95,33.72
张家口市,4841665,453.61,35.42,237094,48611,0.62,13.77,21.03,16.37,44.37,39.27
承德市,4279969,363.71,23.77,97078,19626,0.65,8.09,15.03,17.74,52.46,29.79
沧州市,12816666,690.85,46.22,259000,17651,1.22,18.27,26.73,11.52,53.38,35.1
廊坊市,7298720,395.7,24.86,303037,5840,0.16,7.27,17.43,14.7,55.85,29.46
衡水市,5469867,422.59,21.44,301400,8111,0.14,5.99,15.31,17.99,51.88,30.13
太原市,10136482,348.82,77.92,285456,42925,0.34,39.63,37.95,1.92,46.92,51.16
大同市,4059573,305.85,47.36,116715,50000,0.4,23.53,23.43,5.94,52.23,41.84
阳泉市,2374387,127.21,22.64,38468,7522,0.04,14.83,7.77,1.67,59.38,38.95
长治市,4603998,320.1,32.18,171911,14625,0.3,16.69,15.19,6.29,58.69,35.02
晋城市,3644086,221.45,24.13,47687,5792,0.16,12.86,11.11,4.43,64.62,30.95
朔州市,2341263,148.85,13.06,60518,1507,0.33,6.16,6.57,9.03,61.92,29.05
晋中市,3856794,310,29.67,62401,7520,0.23,14.25,15.19,9.18,54.38,36.43
运城市,5502093,493.2,32.1,215126,3197,0.48,12.98,18.64,10.91,56.15,32.93
忻州市,1944549,299.83,23.25,86230,8000,0.5,6.44,16.31,11.39,44.81,43.81
临汾市,5887387,416.95,35.8,78102,16481,0.56,13.55,21.69,5.77,64.17,30.06
吕梁市,4057513,361.85,27.48,64009,9438,0.22,11.28,15.98,4.86,67.42,27.72
呼和浩特市,9000845,215.81,29.99,249391,24571,0.41,9.33,20.25,5.79,38.91,55.29
包头市,10101178,212.41,33.39,422129,31829,0.45,20.25,12.69,3.48,54.2,42.32
乌海市,1523965,43.35,10.3,50219,7000,0.04,6.89,3.37,1.34,63.59,35.06
赤峰市,4280089,450.21,29.97,144833,21484,1.93,10.31,17.73,23.1,41.19,35.71
通辽市,4130283,312.51,22.39,104245,14547,5.58,4.85,11.96,23.68,38.71,37.61
鄂尔多斯市,8000046,141,15.02,106254,10562,0.5,7,7.52,5.38,54.96,39.66
呼伦贝尔市,3950600,269.96,36.75,150815,25055,13.18,9.79,13.78,24.65,32.18,43.17
巴彦淖尔市,2782323,179.41,14.43,114074,11196,2.4,3.91,8.12,25.99,44.93,29.07
乌兰察布市,2850871,278.16,14.09,177542,13380,0.38,2.88,10.83,22.58,43.59,33.83
沈阳市,25196338,703.56,100.19,684227,117735,0.78,38.35,61.06,5.37,45.21,49.42
大连市,25696699,572.08,92.27,1205675,60150,1.51,47.25,43.51,8.12,47.83,44.05
鞍山市,11360123,348.95,38.5,275791,51551,0.74,20.56,17.2,5.37,54.8,39.83
抚顺市,4578224,223.9,28.32,432308,51156,0.77,16.58,10.97,6.87,55.58,37.55
本溪市,4003426,156.18,24.3,200924,37069,0.2,14.5,9.6,6.45,60.3,33.25
丹东市,3853331,242.52,18.45,405366,27599,0.27,7.18,11,15.09,43.87,41.04
锦州市,4602450,309.2,24.78,274323,42533,2.13,8.87,13.78,20.52,39.66,39.82
营口市,4572440,231.08,16.61,217070,25363,0.2,6.09,10.32,9.88,54.51,35.6
阜新市,1586389,192.97,16.97,268823,22189,0.5,7.95,8.52,20.72,37.87,41.4
辽阳市,3930333,182.55,18.11,251367,21400,0.48,9.72,7.91,7.03,62.24,30.73
盘锦市,5091464,127.08,45.07,82783,7424,18.35,15.78,10.94,9.96,73.05,16.99
铁岭市,3239324,304.54,22.5,138190,20183,1.91,9.49,11.1,24.6,42.94,32.46
朝阳市,2540231,340.08,21.88,172869,26684,0.62,8.62,12.64,25,41.35,33.65
葫芦岛市,3481105,275.67,23.34,163309,27482,0.47,12.32,10.55,13.81,48.28,37.91
长春市,17411922,739.26,85.16,467232,75196,1.34,34.88,48.94,9.3,48.92,41.78
吉林市,7288301,430.44,35.65,259961,19551,1.82,15.42,18.41,15.05,45.67,39.28
四平市,3801684,331.29,20.49,135061,44026,1.62,5.51,13.36,36.52,31.5,31.99
辽源市,1716110,123.22,9.52,104191,15678,0.36,4.32,4.84,16.3,49.14,34.57
通化市,2847362,226.88,20.87,136989,10094,0.71,9.41,10.75,14.27,48.62,37.11
白山市,1919006,129.98,14.21,74429,57643,1.61,5.69,6.91,14.47,53.99,31.53
松原市,4736781,278.21,22.41,70197,13859,2.65,9.38,10.38,21.48,57.56,20.96
白城市,1900399,202.4,17.52,103559,12195,4,3.06,10.46,25.04,38.06,36.9
哈尔滨市,20940751,980.4,149,618000,81000,6.5,71.6,70.9,14.92,36.81,48.27
齐齐哈尔市,4815986,565.9,44.12,317949,39125,8.53,15.07,20.52,25.15,29.47,45.38
鸡西市,2362214,190.84,31.34,140885,14076,7.2,13.94,10.2,30.64,29.9,39.46
鹤岗市,1300017,109.31,27.13,75534,19740,8.49,11.52,7.12,23.48,41.83,34.69
双鸭山市,1692288,149.95,31.55,91105,8124,12.02,10.5,9.03,28.51,41.41,30.08
大庆市,16203336,269.3,51.61,259055,23438,0.85,29.61,21.15,3.13,85.64,11.22
伊春市,1303332,127.74,22.87,83916,21987,11.41,7.13,4.33,24.85,37.69,37.47
佳木斯市,2785370,248.19,30.57,150561,20734,5.93,8.15,16.49,30.76,20.21,49.02
七台河市,1142269,89.07,15.96,53860,7847,0.94,11.36,3.66,12.17,49.97,37.86
牡丹江市,3470888,268.17,27.04,207228,19166,5.39,8.92,12.73,15.85,34.3,49.85
黑河市,1356863,173.49,26.81,97537,97220,12.9,3.29,10.62,37.87,16.2,45.93
绥化市,3972715,568.9,24.81,99506,18682,1.7,6.54,16.57,34.67,22.7,42.63
上海市,103663700,1368.08,332.52,2619400,278200,1.3,135.96,195.26,0.9,48.51,50.59
南京市,27737800,607.23,96.44,914718,60106,0.51,43.14,52.79,2.96,49.03,48.01
无锡市,33005900,457.8,58.67,899089,42138,0.42,31.57,26.68,1.56,59.65,38.8
徐州市,14288000,934.73,60.14,447629,32581,1.75,24.63,33.76,12.66,51.89,35.46
